person_id,product_id,height,bust,waist,hips,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,category_count,style_count,pattern_count,material_count,semantic_token_count,is_striped,is_floral,is_animal_print,is_checked,is_sequin,is_knit,is_stretch,is_relaxed,is_fitted,is_swing,is_longline,is_off_shoulder,is_batwing,is_long_sleeve,is_short_sleeve,category_cardigan,category_jacket,category_kimono,category_outerwear,category_pants,category_top,category_unknown,style_casual,style_elegant,style_fitted,style_layering,style_relaxed,style_romantic,style_sporty,style_unknown,pattern_animal,pattern_check,pattern_floral,pattern_plain,pattern_sequin,pattern_spot,pattern_stripe,material_cosy,material_jersey,material_knit,material_sequin,material_stretch,material_textured,material_unknown,silhouette_cropped,silhouette_fitted,silhouette_longline,silhouette_oversized,silhouette_relaxed,silhouette_swing,silhouette_unknown,sleeve_type_batwing,sleeve_type_bell,sleeve_type_flute,sleeve_type_long,sleeve_type_short,sleeve_type_unknown,neckline_collared,neckline_cowl,neckline_crew,neckline_off_shoulder,neckline_scoop,neckline_unknown,neckline_v_neck,length_style_long,length_style_mid,length_style_short,length_style_unknown,color_black,color_blue,color_blush,color_cream,color_gold,color_green,color_grey,color_jade,color_khaki,color_natural,color_navy,color_nude,color_olive,color_opal,color_orange,color_pink,color_red,color_silver,color_stone,color_stripe,color_teal,color_unknown,color_white,color_wine,color_yellow,label_status,zyra_score,rank,is_positive
Emma,nova-lux-long-sleeve-tie-top-1#NightSky,174.0,81.0,64.0,91.0,100.0,104.0,106.0,60.0,73.0,19.0,40.0,15.0,1.2345679012345678,1.625,1.164835164835165,19.0,40.0,15.0,0.2345679012345679,0.625,0.1648351648351648,24.666666666666668,13.428824718989125,3,0,0,0.3448275862068966,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unknown,0.51438016,125.0,False
Emma,tracie-top#Opal,174.0,81.0,64.0,91.0,127.0,129.0,135.0,55.0,66.0,46.0,65.0,44.0,1.567901234567901,2.015625,1.4835164835164836,46.0,65.0,44.0,0.5679012345679012,1.015625,0.4835164835164835,51.666666666666664,11.590225767142472,3,0,1,0.3160919540229885,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.24997279,648.0,False
Emma,leopard-print-kimono#GoldMulti,174.0,81.0,64.0,91.0,,,158.0,89.0,57.0,,,67.0,,,1.7362637362637363,,,67.0,,,0.7362637362637363,67.0,,1,0,1,0.5114942528735632,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.22935838,701.0,False
Emma,the-tie-detail-hoody#Pink,174.0,81.0,64.0,91.0,134.0,,,70.0,69.0,53.0,,,1.654320987654321,,,53.0,,,0.654320987654321,,,53.0,,1,0,1,0.4022988505747126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.3180176,490.0,False
Emma,belle-off-the-shoulder-tee#Stripe,174.0,81.0,64.0,91.0,121.0,117.0,129.0,67.0,64.0,40.0,53.0,38.0,1.4938271604938271,1.828125,1.4175824175824177,40.0,53.0,38.0,0.4938271604938271,0.828125,0.4175824175824176,43.666666666666664,8.144527815247079,3,0,1,0.3850574712643678,1,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unknown,0.26497498,608.0,False
Emma,the-contrast-panel-top#SageStripe,174.0,81.0,64.0,91.0,130.0,,,73.0,,49.0,,,1.6049382716049383,,,49.0,,,0.6049382716049383,,,49.0,,1,0,0,0.4195402298850574,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unknown,0.34800696,417.0,False
Emma,the-stripe-jersey-top#Blue,174.0,81.0,64.0,91.0,136.0,108.0,108.0,70.0,52.0,55.0,44.0,17.0,1.6790123456790125,1.6875,1.1868131868131868,55.0,44.0,17.0,0.6790123456790124,0.6875,0.1868131868131868,38.666666666666664,19.55334583474995,3,0,1,0.4022988505747126,1,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.52061313,111.0,False
Emma,napoleon-top-1#NemoBlue,174.0,81.0,64.0,91.0,100.0,110.0,108.0,60.0,54.0,19.0,46.0,17.0,1.2345679012345678,1.71875,1.1868131868131868,19.0,46.0,17.0,0.2345679012345679,0.71875,0.1868131868131868,27.333333333333332,16.19670748434179,3,0,0,0.3448275862068966,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.47510684,197.0,False
Emma,the-longline-cardi-1#Nude,174.0,81.0,64.0,91.0,97.0,108.0,115.0,102.0,,16.0,44.0,24.0,1.1975308641975309,1.6875,1.2637362637362637,16.0,44.0,24.0,0.1975308641975308,0.6875,0.2637362637362637,28.0,14.422205101855956,3,0,0,0.5862068965517241,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.5169326,117.0,False
Emma,bo-cosy-cardigan#Blossom,174.0,81.0,64.0,91.0,112.0,114.0,116.0,82.0,75.0,31.0,50.0,25.0,1.382716049382716,1.78125,1.2747252747252746,31.0,50.0,25.0,0.382716049382716,0.78125,0.2747252747252747,35.333333333333336,13.05118130030126,3,0,0,0.4712643678160919,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unknown,0.4208137,272.0,False
